order_id,order_date,customer_id,product_id,quantity,price
1,2024-06-28,226,50,3,220.43
2,2024-06-25,59,1,2,181.22
3,2024-02-06,949,7,4,394.62
4,2024-04-28,242,47,1,143.79
5,2024-02-08,936,18,5,377.95
6,2024-06-06,457,16,4,136.14
7,2024-06-18,725,11,1,84.66
8,2024-01-02,202,35,4,112.71
9,2024-05-14,13,20,4,381.96
10,2024-06-19,341,33,5,96.65
11,2024-05-06,993,11,2,276.31
12,2024-05-14,84,10,5,457.44
13,2024-02-03,740,12,1,10.39
14,2024-01-28,937,39,1,228.86
15,2024-01-11,742,13,4,312.5
16,2024-05-07,538,34,4,284.74
17,2024-01-16,382,16,5,119.72
18,2024-05-11,331,40,5,357.19
19,2024-02-28,407,30,4,343.62
20,2024-03-30,854,6,4,439.21
21,2024-06-07,896,44,3,261.35
22,2024-03-14,10,11,4,320.2
23,2024-06-24,416,37,3,302.82
24,2024-06-16,943,24,4,172.97
25,2024-01-05,481,19,2,87.1
26,2024-06-18,985,29,1,260.12
27,2024-04-28,448,45,3,108.52
28,2024-03-30,423,15,5,66.44
29,2024-05-13,476,5,4,484.26
30,2024-05-12,914,33,2,67.04
31,2024-02-20,768,22,5,223.15
32,2024-02-24,170,4,4,342.4
33,2024-02-19,634,5,3,475.75
34,2024-06-03,865,46,2,363.02
35,2024-06-05,273,36,2,29.63
36,2024-03-12,847,43,2,346.79
37,2024-06-19,450,13,2,272.35
38,2024-01-12,653,8,1,454.72
39,2024-06-06,302,3,1,327.36
40,2024-06-24,89,28,1,23.54
41,2024-06-15,430,15,1,166.51
42,2024-06-24,264,15,1,37.05
43,2024-03-10,905,43,1,494.6
44,2024-03-17,686,9,5,341.54
45,2024-03-17,192,36,4,388.35
46,2024-05-31,770,1,1,304.58
47,2024-02-14,810,36,4,218.56
48,2024-06-04,915,26,4,418.01
49,2024-05-26,903,29,1,406.91
50,2024-03-11,575,39,1,412.91
51,2024-05-01,588,5,4,363.14
52,2024-02-17,95,30,3,123.5
53,2024-05-07,924,15,5,256.75
54,2024-02-09,910,3,5,158.06
55,2024-04-16,380,41,3,279.61
56,2024-01-25,46,38,2,89.07
57,2024-06-23,720,15,4,179.34
58,2024-03-25,926,13,2,309.09
59,2024-04-19,403,50,3,267.65
60,2024-02-13,159,8,2,471.36
61,2024-02-26,619,11,3,393.52
62,2024-01-06,163,37,4,462.05
63,2024-05-29,188,28,4,465.76
64,2024-01-04,654,28,4,31.12
65,2024-04-23,136,29,1,45.41
66,2024-03-28,347,49,4,392.49
67,2024-02-09,721,33,3,446.88
68,2024-01-21,561,28,2,163.04
69,2024-04-29,736,44,5,434.07
70,2024-05-05,317,35,3,249.23
71,2024-05-30,465,19,3,139.51
72,2024-05-07,772,23,3,160.98
73,2024-01-28,44,5,4,269.03
74,2024-03-23,813,45,1,316.59
75,2024-05-11,77,29,1,343.96
76,2024-05-29,782,36,4,433.66
77,2024-01-15,693,29,1,280.52
78,2024-06-19,765,4,2,146.97
79,2024-05-28,837,8,1,370.07
80,2024-02-06,551,25,2,120.65
81,2024-06-19,510,23,3,432.15
82,2024-06-06,253,31,1,483.01
83,2024-06-27,5,14,1,24.18
84,2024-04-17,716,3,3,146.99
85,2024-01-31,955,18,3,271.19
86,2024-06-20,950,7,4,330.0
87,2024-04-13,936,8,4,319.2
88,2024-05-26,359,11,3,59.56
89,2024-03-22,63,20,5,494.81
90,2024-04-04,510,16,2,145.15
91,2024-01-10,26,42,3,166.03
92,2024-03-11,561,19,4,385.28
93,2024-01-23,858,35,5,106.96
94,2024-05-19,430,41,5,336.93
95,2024-04-07,72,13,3,418.89
96,2024-02-13,650,41,2,30.71
97,2024-06-04,52,30,4,129.65
98,2024-04-02,71,2,3,141.87
99,2024-04-02,476,40,1,137.13
100,2024-01-04,912,11,1,51.89
101,2024-04-01,170,12,2,281.4
102,2024-05-18,384,13,2,123.94
103,2024-05-14,900,25,3,347.64
104,2024-02-29,695,36,3,99.27
105,2024-03-25,182,29,5,451.28
106,2024-05-29,607,26,1,482.07
107,2024-06-21,55,21,2,450.75
108,2024-02-13,903,1,4,482.52
109,2024-03-20,820,25,4,369.65
110,2024-04-03,728,11,2,227.43
111,2024-03-06,763,28,3,168.13
112,2024-02-25,655,22,3,447.1
113,2024-03-26,30,42,5,73.97
114,2024-06-09,882,38,1,463.7
115,2024-04-12,793,37,2,29.61
116,2024-01-11,564,21,3,367.48
117,2024-04-18,934,8,3,92.18
118,2024-01-24,93,3,1,151.09
119,2024-06-24,223,41,2,488.81
120,2024-06-02,115,9,4,318.47
121,2024-05-18,916,36,5,165.3
122,2024-05-17,624,19,2,244.38
